,sample.id,exp,w_k,filt_type,phys_state,exp_phys_state,mock_neg,kelpbed_time,Archaea_Thaumarchaeota_Nitrososphaeria,Bacteria_Acidobacteria_Acidobacteriia,Bacteria_Acidobacteria_Blastocatellia_.Subgroup_4.,Bacteria_Acidobacteria_Holophagae,Bacteria_Acidobacteria_Thermoanaerobaculia,Bacteria_Actinobacteria_Acidimicrobiia,Bacteria_Actinobacteria_Actinobacteria,Bacteria_Actinobacteria_Nitriliruptoria,Bacteria_Armatimonadetes_Fimbriimonadia,Bacteria_Bacteroidetes_Bacteroidia,Bacteria_Bacteroidetes_Rhodothermia,Bacteria_Calditrichaeota_Calditrichia,Bacteria_Chlamydiae_Chlamydiae,Bacteria_Chloroflexi_Anaerolineae,Bacteria_Cloacimonetes_Cloacimonadia,Bacteria_Cyanobacteria_Oxyphotobacteria,Bacteria_Deinococcus.Thermus_Deinococci,Bacteria_Dependentiae_Babeliae,Bacteria_Epsilonbacteraeota_Campylobacteria,Bacteria_Fibrobacteres_Chitinivibrionia,Bacteria_Fibrobacteres_Fibrobacteria,Bacteria_Firmicutes_Bacilli,Bacteria_Firmicutes_Clostridia,Bacteria_Firmicutes_Erysipelotrichia,Bacteria_Firmicutes_Negativicutes,Bacteria_Fusobacteria_Fusobacteriia,Bacteria_Hydrogenedentes_Hydrogenedentia,Bacteria_Kiritimatiellaeota_Kiritimatiellae,Bacteria_Latescibacteria_Latescibacteria,Bacteria_Lentisphaerae_Lentisphaeria,Bacteria_Nitrospinae_Nitrospinia,Bacteria_Nitrospirae_Nitrospira,Bacteria_Omnitrophicaeota_Omnitrophia,Bacteria_Patescibacteria_Saccharimonadia,Bacteria_Planctomycetes_Phycisphaerae,Bacteria_Planctomycetes_Planctomycetacia,Bacteria_Proteobacteria_Alphaproteobacteria,Bacteria_Proteobacteria_Deltaproteobacteria,Bacteria_Proteobacteria_Gammaproteobacteria,Bacteria_Spirochaetes_Leptospirae,Bacteria_Spirochaetes_Spirochaetia,Bacteria_Tenericutes_Mollicutes,Bacteria_Verrucomicrobia_Verrucomicrobiae
asinsqrt_kelp03_S06_N_1_2_S108,kelp03_S06_N_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.084371447,0,0,0,0,0.157026614,0,0,0,0.494037006,0,0,0,0,0,0.561466026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024237798,0,0,0,0.141408043,0.121475661,0.582060799,0.0658128,0.243197293,0,0,0,0.248400773
asinsqrt_kelp03_S06_N_sterivex_S97,kelp03_S06_N_sterivex,kelp03,w_niskin,sterivex,na,kelp03_W,no,mohawk_may,0.114337608,0,0,0,0,0.266735914,0,0,0,0.533185853,0.024070058,0,0,0,0,0.159574897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019361287,0,0,0,0.017512744,0.036461899,0.784069281,0.01651108,0.356471719,0,0,0,0.10312429
asinsqrt_kelp04_mooring_A_S131,kelp04_mooring_A,kelp04,k,sterivex,H,kelp04_M_H,no,aq_june,0,0,0,0,0,0.050701188,0,0,0,0.859777357,0,0,0,0,0,0.049715785,0.04178776,0,0.022226247,0,0,0.029821605,0,0,0,0,0,0,0,0,0,0,0,0,0.025665364,0.317450656,0.306860006,0.116169495,0.401999439,0,0,0,0.251380638
asinsqrt_kelp04_mooring_B_S132,kelp04_mooring_B,kelp04,k,sterivex,H,kelp04_M_H,no,aq_june,0.037467504,0,0,0,0,0.067952012,0,0,0,0.73583067,0,0,0,0.012261558,0,0.034687009,0.06134472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021238705,0.314028548,0.342521072,0.106386109,0.517049521,0,0,0,0.275628625
asinsqrt_kelp04_mooring_C_S133,kelp04_mooring_C,kelp04,k,sterivex,H,kelp04_M_H,no,aq_june,0,0,0,0,0,0.03033156,0,0,0,0.922142212,0,0,0,0,0,0.152805065,0.05618408,0,0.031045569,0,0,0,0,0,0,0.038025957,0,0,0,0,0,0,0,0,0.019854927,0.230225153,0.27199783,0.089644963,0.423786017,0,0,0,0.184200842
asinsqrt_kelp04_mooring_D_S134,kelp04_mooring_D,kelp04,k,sterivex,E,kelp04_M_E,no,aq_june,0,0,0,0,0,0.050447671,0,0,0,0.88519687,0,0,0,0.011347042,0,0.027797447,0.159633583,0,0.030025319,0,0,0,0,0,0,0,0,0.023394158,0,0,0,0,0,0,0.028370802,0.155268797,0.278740774,0.091961554,0.47791683,0,0,0,0.226221265
asinsqrt_kelp04_mooring_E_S135,kelp04_mooring_E,kelp04,k,sterivex,E,kelp04_M_E,no,aq_june,0,0,0,0,0,0.052449846,0,0,0,0.911655062,0,0,0.013025663,0.010089521,0,0.026697082,0.163306465,0,0.011650442,0,0,0,0,0,0,0.022562387,0,0.010089521,0,0,0,0,0,0,0.025393703,0.179073768,0.279439131,0.091116826,0.425798034,0,0,0.010089521,0.240500191
asinsqrt_kelp04_mooring_F_S136,kelp04_mooring_F,kelp04,k,sterivex,E,kelp04_M_E,no,aq_june,0,0,0,0.011294989,0,0.058176091,0,0,0,0.913752727,0,0,0,0,0,0.042273672,0.087417589,0.021132114,0.031951812,0,0,0.014942105,0,0,0,0,0,0,0,0,0,0,0,0,0.029348832,0.181624638,0.2673349,0.091363181,0.45526248,0,0,0,0.233450356
asinsqrt_kelp04_mooring_G_S137,kelp04_mooring_G,kelp04,k,sterivex,H,kelp04_M,no,aq_june,0.044690518,0,0,0,0,0.056456546,0,0,0,0.688925586,0.024374975,0,0,0.019499285,0,0.049007858,0.048764448,0,0,0,0,0.054525719,0,0,0,0.009749179,0,0,0,0,0,0,0,0,0.03615823,0.303080692,0.350721342,0.100660552,0.555318609,0,0,0.014624058,0.296171758
asinsqrt_kelp04_S01_HA_S109,kelp04_S01_HA,kelp04,k,sterivex,H,kelp04_1_H,no,aq_june,0.056464869,0,0,0,0,0.065574997,0,0,0,0.747427308,0,0,0,0,0,0.06403488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040622997,0,0,0,0.02198862,0.393705807,0.309187871,0.051999127,0.345483029,0,0,0,0.421106317
