sample.id.davis	sample.id	asin.sample.id	loc.in.bed	exp	w_k	filt_type	phys_state	exp_phys_state	mock_neg	kelpbed_time
kelp05_water_outside_kelp_1L_S163	kelp05_water_outside_kelp_1L	asinsqrt_kelp05_water_outside_kelp_1L_S163	na	kelp05	w	point_two_flat	na	kelp05_W	no	aq_july
kelp05_water_outside_kelp_200ml_S161	kelp05_water_outside_kelp_200ml	asinsqrt_kelp05_water_outside_kelp_200ml_S161	na	kelp05	w	point_two_flat	na	kelp05_W	no	aq_july
kelp06_S01_EA_S175	kelp06_S01_EA	asinsqrt_kelp06_S01_EA_S175	na	kelp06	k	sterivex	E	kelp06_1_E	no	mohawk_aug
kelp06_S01_EB_S176	kelp06_S01_EB	asinsqrt_kelp06_S01_EB_S176	na	kelp06	k	sterivex	E	kelp06_1_E	no	mohawk_aug
kelp06_S01_EC_S177	kelp06_S01_EC	asinsqrt_kelp06_S01_EC_S177	na	kelp06	k	sterivex	E	kelp06_1_E	no	mohawk_aug
kelp06_S01_HA_S172	kelp06_S01_HA	asinsqrt_kelp06_S01_HA_S172	na	kelp06	k	sterivex	H	kelp06_1_H	no	mohawk_aug
kelp06_S01_HB_S173	kelp06_S01_HB	asinsqrt_kelp06_S01_HB_S173	na	kelp06	k	sterivex	H	kelp06_1_H	no	mohawk_aug
kelp06_S01_HC_S174	kelp06_S01_HC	asinsqrt_kelp06_S01_HC_S174	na	kelp06	k	sterivex	H	kelp06_1_H	no	mohawk_aug
kelp06_S01_W_S164	kelp06_S01_W	asinsqrt_kelp06_S01_W_S164	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S02_EA_S1	kelp06_S02_EA	asinsqrt_kelp06_S02_EA_S1	na	kelp06	k	sterivex	E	kelp06_E	no	mohawk_aug
kelp06_S02_EB_S2	kelp06_S02_EB	asinsqrt_kelp06_S02_EB_S2	na	kelp06	k	sterivex	E	kelp06_E	no	mohawk_aug
kelp06_S02_EC_S3	kelp06_S02_EC	asinsqrt_kelp06_S02_EC_S3	na	kelp06	k	sterivex	E	kelp06_E	no	mohawk_aug
kelp06_S02_HA_S178	kelp06_S02_HA	asinsqrt_kelp06_S02_HA_S178	na	kelp06	k	sterivex	H	kelp06_2_H	no	mohawk_aug
kelp06_S02_HB_S179	kelp06_S02_HB	asinsqrt_kelp06_S02_HB_S179	na	kelp06	k	sterivex	H	kelp06_2_H	no	mohawk_aug
kelp06_S02_HC_S180	kelp06_S02_HC	asinsqrt_kelp06_S02_HC_S180	na	kelp06	k	sterivex	H	kelp06_2_H	no	mohawk_aug
kelp06_S02_W_S165	kelp06_S02_W	asinsqrt_kelp06_S02_W_S165	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S03_W_S166	kelp06_S03_W	asinsqrt_kelp06_S03_W_S166	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S04_W_S167	kelp06_S04_W	asinsqrt_kelp06_S04_W_S167	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S05_W_S168	kelp06_S05_W	asinsqrt_kelp06_S05_W_S168	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S06_W_S169	kelp06_S06_W	asinsqrt_kelp06_S06_W_S169	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S07_W_S170	kelp06_S07_W	asinsqrt_kelp06_S07_W_S170	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
kelp06_S08_W_S171	kelp06_S08_W	asinsqrt_kelp06_S08_W_S171	na	kelp06	w	point_two_flat	na	kelp06_W	no	mohawk_aug
Mock_Comm_Even_plate1_S5	Mock_Comm_Even_plate1	na	na	mock_1	mock_1	mock_1	mock_1	mock_1	yes	na
Mock_Comm_Even_plate3_S182	Mock_Comm_Even_plate3	na	na	mock_3	mock_3	mock_3	mock_3	mock_3	yes	na
MockE_plate2_S85	MockE_plate2	na	na	mock_2	mock_2	mock_2	mock_2	mock_2	yes	na
MockG_plate2_S86	MockG_plate2	na	na	mock_2	mock_2	mock_2	mock_2	mock_2	yes	na
Neg_Cnrtl_plate1_S4	Neg_Cnrtl_plate1	na	na	neg_cntrl	neg_cntrl	neg_cntrl	neg_cntrl	neg_cntrl	yes	na
neg_control_plate3_S181	neg_control_plate3	na	na	neg_cntrl	neg_cntrl	neg_cntrl	neg_cntrl	neg_cntrl	yes	na
NEG_plate2_S37	NEG_plate2	na	na	neg_cntrl	neg_cntrl	neg_cntrl	neg_cntrl	neg_cntrl	yes	na
kelp03_S04_N_1_2_S104	kelp03_S04_N_1.2	na	na	kelp03	w_niskin_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S05_W_1_2_S105	kelp03_S05_W_1.2	na	na	kelp03	w_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S06_W_1_2_S107	kelp03_S06_W_1.2	na	na	kelp03	w_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S06_W_sterivex_S96	kelp03_S06_W_sterivex	na	na	kelp03	w	sterivex	na	kelp03_W	no	mohawk_may
